epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7408,0.70257,2.04019,1.05433,0.99157,0.26513,0.45808,0.37947,0.59654,2.07528,0.78742,0.000544327,0.000544327,0.000544327
2,22.2078,0.68752,0.79392,1.05859,0.9891,0.49091,0.50416,0.44962,0.49892,0.64019,0.7718,0.0010891,0.0010891,0.0010891
3,32.0439,0.70772,0.70881,1.04177,0.92409,0.43864,0.47706,0.406,0.58511,0.88449,0.82479,0.00162288,0.00162288,0.00162288
4,41.7226,0.64558,0.6403,1.01692,0.76326,0.37955,0.2901,0.23581,0.68248,1.97447,0.8943,0.00161749,0.00161749,0.00161749
5,51.3199,0.62887,0.58895,1.01554,0.90856,0.45695,0.47146,0.39095,0.64482,1.09824,0.83693,0.00160099,0.00160099,0.00160099
6,58.4869,0.60008,0.54405,0.98921,0.88619,0.38561,0.41807,0.32093,0.75024,1.36571,0.96064,0.00158448,0.00158448,0.00158448
7,65.3415,0.59037,0.53505,1.0016,0.98877,0.49463,0.49771,0.46201,0.41247,0.44828,0.72857,0.00156798,0.00156798,0.00156798
8,71.8098,0.56516,0.50267,0.99081,0.98057,0.48636,0.49482,0.45088,0.4539,0.52724,0.75172,0.00155148,0.00155148,0.00155148
9,78.2082,0.57163,0.49882,0.98818,0.99503,0.5,0.49607,0.44055,0.50548,0.45435,0.77429,0.00153497,0.00153497,0.00153497
10,85.1668,0.56002,0.4847,0.99221,0.99005,0.49773,0.5003,0.45744,0.44065,0.45306,0.75486,0.00151847,0.00151847,0.00151847
11,91.6419,0.50492,0.44531,0.96629,0.96449,0.47273,0.49168,0.44776,0.41389,0.81231,0.75484,0.00150197,0.00150197,0.00150197
12,98.1299,0.51584,0.44409,0.98369,0.99414,0.49773,0.49786,0.46075,0.40692,0.45625,0.73264,0.00148546,0.00148546,0.00148546
13,104.326,0.49706,0.43354,0.96723,0.99529,0.5,0.49659,0.44988,0.4528,0.37575,0.7482,0.00146896,0.00146896,0.00146896
14,110.575,0.50296,0.41565,0.96411,0.99527,0.5,0.49508,0.44969,0.41765,0.36043,0.7326,0.00145246,0.00145246,0.00145246
15,116.891,0.49578,0.40372,0.96955,0.99175,0.5,0.50266,0.46851,0.40251,0.35284,0.73448,0.00143595,0.00143595,0.00143595
16,123.259,0.50993,0.42015,0.97366,0.99523,0.5,0.49593,0.47496,0.33563,0.32136,0.70988,0.00141945,0.00141945,0.00141945
17,129.577,0.50413,0.40287,0.971,0.99053,0.5,0.50769,0.47737,0.36662,0.34873,0.73194,0.00140295,0.00140295,0.00140295
18,135.795,0.49779,0.40233,0.96481,0.98346,0.49773,0.4958,0.46593,0.36439,0.35147,0.71864,0.00138644,0.00138644,0.00138644
19,142.002,0.45794,0.37445,0.94965,0.99247,0.5,0.52301,0.49449,0.34367,0.33726,0.70983,0.00136994,0.00136994,0.00136994
20,148.218,0.47051,0.37375,0.9523,0.86355,0.47839,0.45338,0.41433,0.40762,0.85067,0.72977,0.00135344,0.00135344,0.00135344
21,154.553,0.4862,0.38197,0.96972,0.99549,0.49984,0.4952,0.47157,0.36664,0.29849,0.71826,0.00133693,0.00133693,0.00133693
22,161.027,0.46292,0.37707,0.95168,0.99549,0.49993,0.57265,0.55568,0.30438,0.26983,0.70138,0.00132043,0.00132043,0.00132043
23,167.771,0.46394,0.37108,0.95485,0.99534,0.5,0.49708,0.47195,0.3395,0.29262,0.71589,0.00130393,0.00130393,0.00130393
24,174.461,0.45478,0.35058,0.94983,0.90715,0.49318,0.48397,0.45401,0.36815,0.54285,0.72696,0.00128742,0.00128742,0.00128742
25,181.036,0.46039,0.35647,0.95872,0.99467,0.49773,0.49701,0.47212,0.33482,0.32751,0.70921,0.00127092,0.00127092,0.00127092
26,187.412,0.45141,0.35399,0.95207,0.97805,0.49509,0.49679,0.47584,0.33168,0.3922,0.71176,0.00125442,0.00125442,0.00125442
27,193.573,0.43989,0.35696,0.95318,0.99022,0.49545,0.49578,0.46945,0.34422,0.36504,0.71321,0.00123791,0.00123791,0.00123791
28,199.945,0.44693,0.34859,0.95082,0.99287,0.5,0.49613,0.47065,0.33807,0.30819,0.71083,0.00122141,0.00122141,0.00122141
29,206.133,0.42628,0.34011,0.94754,0.99504,0.5,0.49624,0.46868,0.31676,0.27996,0.71054,0.00120491,0.00120491,0.00120491
30,212.32,0.43416,0.35185,0.9443,0.99533,0.5,0.49663,0.47591,0.31225,0.28723,0.70621,0.0011884,0.0011884,0.0011884
31,218.511,0.41802,0.33136,0.93342,0.97149,0.48867,0.49098,0.4696,0.314,0.4588,0.70334,0.0011719,0.0011719,0.0011719
32,224.682,0.40622,0.32187,0.92846,0.84681,0.45909,0.44524,0.41689,0.35616,0.91586,0.71998,0.0011554,0.0011554,0.0011554
33,231.148,0.42421,0.33105,0.94446,0.97721,0.47592,0.4938,0.45635,0.41072,0.45366,0.72504,0.00113889,0.00113889,0.00113889
34,237.511,0.41759,0.32783,0.92886,0.99533,0.5,0.49535,0.47862,0.3113,0.28924,0.70656,0.00112239,0.00112239,0.00112239
35,243.586,0.43094,0.33681,0.95415,0.49263,0.5,0.49685,0.48332,0.29365,0.26848,0.69759,0.00110589,0.00110589,0.00110589
36,249.676,0.40686,0.31733,0.93848,0.9929,0.5,0.49659,0.48135,0.30134,0.25238,0.69307,0.00108938,0.00108938,0.00108938
37,255.654,0.40479,0.31317,0.93512,0.99534,0.49773,0.49616,0.48335,0.3071,0.26315,0.69928,0.00107288,0.00107288,0.00107288
38,261.774,0.41646,0.32781,0.94123,0.99313,0.5,0.49587,0.48287,0.28333,0.24625,0.69508,0.00105638,0.00105638,0.00105638
